Year,Aviation turbine fuel,Brown coal (lignite) and brown coal products,Crude oil,Diesel fuels,Electricity and other energy sources,Gases,Hard coal and hard coal products,Heating oil,Heavy fuel oil,Other mineral oil products,Petrol,Renewable energies,Air transport services,Basic metals,Chemicals and chemical products,Coke and refined petroleum products,"Electricity, gas, steam and air conditioning",Other non-metallic mineral products,Energy_Usage
1995,299573,1813314,4399992,855747,3288362,2039908,2451767,705697,576548,1363896,392755,178268,297617,896398,1248996,5870241,5684153,336447,18365827
1996,308892,1764239,4458886,859345,3337441,2176236,2479438,800163,549851,1330910,374237,172947,312143,858075,1240390,5917341,5819555,331527,18612585
1997,324146,1674005,4330314,873773,3447534,2159536,2393289,631016,513466,1376741,358579,184824,324324,908628,1298163,5719130,5746440,334331,18267223
1998,335442,1589890,4630846,892863,3373204,2180340,2385933,644559,460838,1437337,379940,213163,333820,907499,1272923,5982882,5723854,328166,18524355
1999,356628,1548529,4535289,956025,3452979,2191725,2220991,591172,406715,1436404,365310,232721,358022,867877,1266623,5806494,5703224,324569,18294488
2000,375864,1632143,4568702,949144,3504832,2192493,2295672,541340,448720,1502626,328142,312006,379081,929566,1325466,6105059,5853849,311257,18651684
2001,360911,1710841,4544940,976975,3508169,2231880,2157813,588900,447454,1424609,297320,301632,369552,890526,1296446,5905446,5945034,281836,18551444
2002,359772,1740549,4566418,938318,3445737,2254808,2113770,537786,446262,1404684,267162,322532,365957,880567,1341693,5909850,5903758,265470,18397798
2003,372353,1722380,4666937,930203,3638323,2199094,2207083,531507,443296,1415971,247938,520596,376495,941825,1309362,6028607,6167872,290122,18895681
2004,376138,1740612,4800303,940950,3692500,2222679,2161093,504651,391517,1501150,235099,646632,383553,946514,1371946,6248089,6210704,293893,19213324
2005,377607,1688750,4919545,910858,3669194,2349146,2083773,515758,591728,1529209,238787,838445,378581,863880,1441702,6396361,6260228,254601,19712800
2006,391080,1670009,4798952,918370,3736352,2423332,2199956,512540,606481,1497990,222402,985993,391985,921367,1464255,6280306,6450714,273460,19963457
2007,408773,1712936,4684434,929474,3423952,2417743,2224573,415721,666046,1452267,217195,1182272,409437,906518,1517489,6176548,6401021,310652,19735386
2008,410773,1666814,4611719,957394,3487766,2446053,2016385,479586,689183,1404611,199755,1201365,410778,881540,1467702,6026164,6334732,296380,19571404
2009,392831,1613033,4293945,927397,3209559,2176600,1712859,423192,613284,1331476,151771,1243559,389928,663888,1367511,5572540,5937875,272274,18089506
2010,377387,1623591,4052556,950226,3407365,2448857,1960882,426763,613206,1410816,141645,1408274,375523,838385,1519559,5418660,6262209,279845,18821568
2011,363583,1693814,3978529,968209,3020049,2336579,1953389,376146,539136,1393128,151478,1504677,360886,867558,1526874,5372311,5910832,292255,18278717
2012,394192,1774038,4041554,961783,2961760,2239340,1952959,371784,571691,1354465,127446,1267091,394368,863104,1372038,5395409,5791593,280079,18018103
2013,395079,1755410,3940328,991097,2910852,2261099,2051410,374231,531929,1376821,120152,1342086,394258,839190,1352741,5296855,5830812,277733,18050494
2014,380685,1702642,3881169,825345,2867521,2158346,1979373,318858,496871,1391540,87748,1401128,379016,826483,1376029,5228898,5676670,280188,17491226
2015,373371,1691698,3978960,902889,2824608,2186693,1957146,302385,617578,1369800,91544,1506541,371051,863654,1350363,5352940,5648105,278793,17803213
2016,396941,1640191,4007008,886398,2747910,2363322,1931481,320115,521590,1438412,91003,1524304,394326,863088,1314766,5449426,5629027,277389,17868675
2017,414661,1616315,3961933,860561,2659381,2421540,1739334,332872,613786,1492342,102127,1650291,414374,864509,1468646,5465125,5460808,288331,17865143
2018,414772,1599607,3731743,826391,2631102,2391834,1641274,285993,627562,1304156,238431,1624447,414947,867020,1282784,5388544,5304172,291787,17317312
2019,399901,1276935,3710129,837293,2552845,2429418,1391429,283789,532694,1338647,264003,1702609,397295,820412,1241488,5417931,4880524,285183,16719692
2020,171857,1072295,3575595,764907,2331386,2391192,1078355,348759,442422,1313723,247823,1746092,169943,673081,1268782,5144985,4444643,305045,15484406
